"表面","裏面","Image"
"カレントディレクトリに新しくGitリポジトリを作成するコマンドは？","`git init`","git-001-init.png"
"URLやパスを指定して、既存のリポジトリをカレントディレクトリにコピーするコマンドは？","`git clone <url_or_path>`","git-002-clone.png"
"現在のワーキングディレクトリの変更状態（ステータス）を表示するコマンドは？","`git status`","git-003-status.png"
"カレントディレクトリのすべての変更を、コミットの準備領域（ステージングエリア）に追加するコマンドは？","`git add .`","git-004-add.png"
"追加した変更にメッセージを付けて、ローカルリポジトリに記録するコマンドは？","`git commit -m ""メッセージ""`","git-005-commit.png"
"リモートリポジトリの最新の変更を取得し、ローカルに統合（プル）するコマンドは？","`git pull`","git-006-pull.png"
"ローカルリポジトリで記録した変更を、リモートリポジトリに送信（プッシュ）するコマンドは？","`git push`","git-007-push.png"
"Gitのコミットに記録される作者情報として、設定すべき2つの項目は？","ユーザー名（user.name）とメールアドレス（user.email）","git-008-config-user.png"
"Gitのコミットに記録されるデフォルトのユーザー名を設定するコマンドは？","`git config --global user.name ""名前""`","git-009-config-name.png"
"Gitのコミットに記録されるデフォルトのメールアドレスを設定するコマンドは？","`git config --global user.email ""メールアドレス""`","git-010-config-email.png"
"`git config --global` コマンドで設定したユーザー名などの情報が保存されるファイルはどこか？","`~/.gitconfig`","git-011-gitconfig.png"
"現在のローカルリポジトリの状態に、バージョンなどの目印（タグ）をつけるコマンドは？","`git tag ""バージョンやラベル""`","git-012-tag.png"
"1つのリポジトリで、複数の作業ディレクトリを競合なく切り出すことができるGitの機能は？","`git worktree`","git-013-worktree.png"
"指定したパスに新しいワークツリーを作成し、同時に新しいブランチを作成してチェックアウトするコマンドは？","`git worktree add <パス> -b <ブランチ名>`","git-014-worktree-add.png"
"誤コミットを防ぐため、ワークツリーを作成する際に安全な場所はどこか？","リポジトリ外（隣接ディレクトリなど）に作成するのが安全です","git-015-worktree-safe.png"
"現在作成されているワークツリーの一覧を確認するコマンドは？","`git worktree list`","git-016-worktree-list.png"
"ワークツリーを作成した際、`.gitignore`で除外されているファイル（例: node_modules や .env）はどうなるか？","新しいワークツリーには含まれません。シンボリックリンクを張るか、個別にインストールする必要があります","git-017-gitignore-worktree.png"
"不要になったワークツリーを削除するコマンドは？","`git worktree remove <パス>`","git-018-worktree-remove.png"
"`git worktree remove` 実行時、未コミットの変更が残っているワークツリーはどうなるか？","安全装置が働き、デフォルトでは削除されない（エラーで中断される）","git-019-worktree-blocked.png"
"未コミットの変更があるワークツリーを強制的に削除するオプションは？","`git worktree remove --force <パス>`（`--force`）","git-020-worktree-force.png"
"ワークツリーのディレクトリを直接削除してしまい、`list` に管理情報が残った場合、それを掃除するコマンドは？","`git worktree prune`","git-021-worktree-prune.png"
"ブランチを削除しようとして拒否される原因のうち、ワークツリーに関連するものは？","どこかのワークツリーでそのブランチがHEADとして開かれているため","git-022-worktree-branch-block.png"
"同じブランチを2つのワークツリーで同時に開くことはできるか？","できない（1ブランチ = 1ワークツリーがGitの仕様）","git-023-worktree-one-branch.png"
"ワーキングディレクトリとステージングエリアの差分を表示するコマンドは？","`git diff`","git-023-diff.png"
"ステージングエリアと最新コミットの差分を表示するコマンドは？","`git diff --staged`（または `--cached`）","git-024-diff-staged.png"
"これまでのコミット履歴を表示するコマンドは？","`git log`","git-025-log.png"
"コミット履歴を1行ずつ簡潔に表示するオプションは？","`git log --oneline`","git-026-log-oneline.png"
"特定のコミットで行われた変更内容を確認するコマンドは？","`git show <コミットID>`","git-027-show.png"
"ローカルリポジトリに存在するブランチの一覧を表示するコマンドは？","`git branch`","git-028-branch-list.png"
"現在のコミットから新しいブランチを作成するコマンドは？（切り替えはしない）","`git branch <ブランチ名>`","git-029-branch-create.png"
"指定したブランチに作業を切り替えるコマンドは？","`git checkout <ブランチ名>`（または `git switch`）","git-030-checkout.png"
"新しいブランチを作成し、同時にそのブランチに切り替えるコマンドは？","`git checkout -b <ブランチ名>`（または `git switch -c`）","git-031-checkout-b.png"
"指定したブランチの変更を、現在のブランチに統合するコマンドは？","`git merge <ブランチ名>`","git-032-merge.png"
"マージ済みの不要なブランチを削除するコマンドは？","`git branch -d <ブランチ名>`","git-033-branch-d.png"
"まだマージされていないブランチを強制的に削除するコマンドは？","`git branch -D <ブランチ名>`","git-034-branch-D.png"
"まだコミットしていないワーキングディレクトリの変更を取り消すコマンドは？","`git restore <ファイル名>`（または `git checkout -- <ファイル名>`）","git-035-restore.png"
"すでに `git add` したファイルをステージングエリアから取り除く（アンステージする）コマンドは？","`git restore --staged <ファイル名>`（または `git reset HEAD <ファイル名>`）","git-036-restore-staged.png"
"直前のコミットの内容を修正したり、コミットメッセージを書き直したりするコマンドは？","`git commit --amend`","git-037-commit-amend.png"
"直前のコミットを取り消すが、作業した変更内容はステージングエリアに残すコマンドは？","`git reset --soft HEAD~1`","git-038-reset-soft.png"
"直前のコミットと、そこに含まれる作業内容を完全に破棄して元に戻すコマンドは？","`git reset --hard HEAD~1`","git-039-reset-hard.png"
"過去の特定のコミットで行われた変更を「打ち消す」ための新しいコミットを作成するコマンドは？","`git revert <コミットID>`","git-040-revert.png"
"登録されているリモートリポジトリのURL一覧を表示するコマンドは？","`git remote -v`","git-041-remote-v.png"
"新しいリモートリポジトリを `origin` という名前で登録するコマンドは？","`git remote add origin <URL>`","git-042-remote-add.png"
"リモートリポジトリの最新情報を取得するが、自分のローカルファイルにはまだ統合させないコマンドは？","`git fetch`","git-043-fetch.png"
"ローカルのブランチを初めてリモートにプッシュし、upstream（追跡ブランチ）を設定するコマンドは？","`git push -u origin <ブランチ名>`","git-044-push-u.png"
"まだコミットしたくない中途半端な変更を、一時的に退避させるコマンドは？","`git stash`","git-045-stash.png"
"退避させた作業（スタッシュ）の一覧を表示するコマンドは？","`git stash list`","git-046-stash-list.png"
"最後に退避させた作業を復元し、退避リストから削除するコマンドは？","`git stash pop`（スタッシュから削除されます）","git-047-stash-pop.png"
"【よくある間違い】大容量ファイルやパスワードを含むファイルを誤ってコミットした場合、単純に rm で削除してコミットすれば履歴からも完全に消えるか？","消えません。履歴から完全に消すには `git filter-repo` などの専用ツールによる歴史の書き換えが必要です","git-048-filter-repo.png"
"【よくある間違い】`git push` で ""rejected (non-fast-forward)"" エラーが出た場合の主な原因と対処法は？","原因: リモートに自分のローカルにない新しいコミットがある。対処法: `git pull`（または `git pull --rebase`）でリモートの変更を取り込んでから、再度 `git push` する","git-049-non-fast-forward.png"
